名前,ふりがな,会派,選挙区,生年月日,任期,表面キャラ,本質キャラ,意思決定キャラ,隠れキャラ,希望キャラ,役職,プロフィール文,顔写真ファイル
足立 康史,あだち やすし,自民,比例代表選出／令和7年／当選 1 回,1965/10/14,令和13年7月28日,くろひょう,こじか,ゾウ,たぬき,ペガサス,"令和7年12月13日現在
総務委員会
議院運営委員会
政治改革に関する特別委員会
憲法審査会",,241_足立 康史.jpg
安達 悠司,あだち ゆうじ,自民,比例代表選出／令和7年／当選 1 回,1982/6/29,令和13年7月28日,ペガサス,ひつじ,たぬき,猿,こじか,"令和7年12月13日現在
法務委員会
議院運営委員会
沖縄・北方問題及び地方に関する特別委員会
憲法審査会（幹）",,242_安達 悠司.jpg
安藤 裕,あんどう ひろし,参政,比例代表選出／令和7年／当選 1 回,1965/3/28,令和13年7月28日,ペガサス,ゾウ,ゾウ,ペガサス,子守熊,"令和7年12月13日現在
国土交通委員会
予算委員会",,243_安藤 裕.jpg
安野 貴博,あんの たかひろ,無所属,比例代表選出／令和7年／当選 1 回,1990/12/1,令和13年7月28日,子守熊,ゾウ,チーター,くろひょう,ゾウ,"令和7年12月13日現在
総務委員会",,244_安野 貴博.jpg
石井 めぐみ,いしい めぐみ,維新,比例代表選出／令和7年／当選 1 回,1958/10/18,令和13年7月28日,ひつじ,くろひょう,ひつじ,狼,ゾウ,"令和7年12月13日現在
国土交通委員会
予算委員会
こども・子育て・若者活躍に関する特別委員会",,245_石井 めぐみ.jpg
泉 房穂,いずみ ふさほ,立憲,選挙区（兵庫県）選出／令和7年／当選 1 回,1963/8/19,令和13年7月28日,ペガサス,ゾウ,虎,ゾウ,たぬき,"令和7年12月13日現在
法務委員会
行政監視委員会
こども・子育て・若者活躍に関する特別委員会
国民生活・経済に関する調査会",,246_泉 房穂.jpg
伊勢崎 賢治,いせざき けんじ,れ新,比例代表選出／令和7年／当選 1 回,1957/7/6,令和13年7月28日,ライオン,子守熊,猿,子守熊,ゾウ,"令和7年12月13日現在
内閣委員会
決算委員会
沖縄・北方問題及び地方に関する特別委員会
国際問題に関する調査会",,247_伊勢崎 賢治.jpg
伊藤 辰夫,いとう たつお,民主,比例代表選出／令和7年／当選 1 回,1938/3/11,令和13年7月28日,ゾウ,子守熊,子守熊,こじか,子守熊,"令和7年12月13日現在
環境委員会
災害対策及び東日本大震災復興特別委員会（理）
資源エネルギー・持続可能社会に関する調査会",,248_伊藤 辰夫.jpg
岩本 麻奈,いわもと まな,参政,比例代表選出／令和7年／当選 1 回,1964/12/4,令和13年7月28日,狼,狼,たぬき,たぬき,こじか,"令和7年12月13日現在
厚生労働委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
情報監視審査会",,249_岩本 麻奈.jpg
いんどう 周作,いんどう しゅうさく,自民,比例代表選出／令和7年／当選 1 回,1923/3/27,令和13年7月28日,子守熊,狼,狼,くろひょう,こじか,"令和7年12月13日現在
総務委員会
議院運営委員会
災害対策及び東日本大震災復興特別委員会
国民生活・経済に関する調査会
憲法審査会",,250_いんどう 周作.jpg
上野 ほたる,うえの ほたる,維新,比例代表選出／令和7年／当選 1 回,1932/4/3,令和13年7月28日,虎,ゾウ,ペガサス,ゾウ,こじか,"令和7年12月13日現在
経済産業委員会
デジタル社会の形成及び人工知能の活用等に関する特別委員会
国民生活・経済に関する調査会",,251_上野 ほたる.jpg
