氏名,しめい,所属,地域,生年月日
足立 康史,あさひ けんたろう,自民,東京,1965/10/14
安達 悠司,あだち まさし,自民,比例,
安藤 裕,あんどう ひろし,参政,比例,
安野 貴博,あんの たかひろ,無所属,比例,1990/12/1
石井 めぐみ,いしい めぐみ,維新,比例,1958/10/18
泉 房穂,いずみ ふさほ,立憲,兵庫,1963/8/19
伊勢崎 賢治,いせざき けんじ,れ新,比例,1957/7/6
伊藤 辰夫,いとう たつお,民主,比例,1938/3/11
岩本 麻奈,いわもと まな,参政,比例,1964/12/4
いんどう 周作,いんどう しゅうさく,自民,比例,1923/3/27
上野 ほたる,うえの ほたる,維新,比例,
牛田 茉友,うしだ まゆ,民主,東京,1985/6/8
江原 くみ子,えはら くみこ,民主,埼玉,
大津 力,おおつ つとむ,参政,埼玉,
岡崎 太,おかざき ふとし,維新,大阪,
奥田 ふみよ,おくだ ふみよ,れ新,比例,1965/5/12
奥村 祥大,おくむら よしひろ,民主,東京,1983/5/9
尾辻 朋実,おつじ ともみ,無所属,鹿児島,1940/10/2
かごしま 彰宏,かごしま あきひろ,民主,神奈川,
かまやち 敏,かまやち さとし,自民,比例,
川村 雄大,かわむら ゆうだい,公明,東京,1979/12/17
北村 晴男,きたむら はるお,保守,比例,1956/3/10
見坂 茂範,けんざか しげのり,自民,比例,
郡山 りょう,こおりやま りょう,立憲,比例,
小島 とも子,こじま ともこ,立憲,三重,1963/2/1
後藤 翔太,ごとう しょうた,参政,比例,1983/1/7
後藤 斎,ごとう ひとし,民主,山梨,1957/7/22
小林 孝一郎,こばやし こういちろう,自民,岡山,1926/2/20
小林 さやか,こばやし さやか,民主,千葉,
櫻井 祥子,さくらい しょうこ,参政,茨城,
櫻井 充,さくらい みつる,自民,宮城,1956/5/12
佐々木 雅文,ささき まさふみ,公明,比例,1955/3/2
佐々木 りえ,ささき りえ,維新,大阪,1982/8/24
里見 隆治,さとみ りゅうじ,公明,愛知,1967/10/17
塩入 清香,しおいり さやか,参政,東京,
白川 容子,しらかわ ようこ,共産,比例,1966/4/14
杉本 純子,すぎもと じゅんこ,参政,愛知,1945/12/1
鈴木 大地,すずき だいち,自民,東京,1967/3/10
石 平,せき へい,維新,比例,
高良 沙哉,たから さちか,沖縄,沖縄,
司 隆史,つかさ たかし,公明,比例,1973/12/19
出川 桃子,でがわ ももこ,自民,鳥取・島根,1964/2/13
中田 優子,なかだ ゆうこ,参政,福岡,1988/10/17
新実 彰平,にいみ しょうへい,維新,京都,1989/4/10
西田 英範,にした ひでのり,自民,広島,1981/8/3
庭田 幸恵,にわた ゆきえ,民主,富山,1967/12/29
芳賀 道也,はが みちや,民主,山形,1958/3/2
初鹿野 裕樹,はじかの ひろき,参政,神奈川,
原田 大二郎,はらだ だいじろう,公明,比例,1944/4/5
原田 秀一,はらだ ひでかず,民主,香川,1949/12/2
東野 秀樹,ひがしの ひでき,自民,比例,
百田 尚樹,ひゃくた なおき,保守,比例,1956/2/23
平戸 航太,ひらど こうた,民主,比例,
福士 珠美,ふくし ますみ,立憲,青森,1958/10/11
福山 守,ふくやま まもる,自民,比例,1952/12/19
松田 学,まつだ まなぶ,参政,比例,1957/11/11
三上 えり,みかみ えり,立憲,広島,1970/6/11
水野 孝一,みずの こういち,民主,愛知,1976/10/27
宮崎 勝,みやざき まさる,公明,比例,1958/3/18
宮出 千慧,みやで ちさと,参政,大阪,
宮本 和宏,みやもと かずひろ,自民,滋賀,1972/3/7
望月 良男,もちづき よしお,無所属,和歌山,1972/4/19
森 ゆうこ,もり ゆうこ,立憲,比例,1956/4/20
山内 佳菜子,やまうち かなこ,立憲,宮崎,
山崎 正昭,やまざき まさあき,自民,福井,1942/5/24
山田 吉彦,やまだ よしひこ,民主,比例,1962/9/7
山中 泉,やまなか せん,参政,比例,
吉田 忠智,よしだ ただとも,立憲,大分,1956/3/7
ラサール石井,らさーるいしい,立憲,比例,1955/10/19
蓮舫,れんほう,立憲,比例,1967/11/28
若井 敦子,わかい あつこ,自民,岐阜,1971/9/12
脇 雅昭,わき まさあき,自民,神奈川,1982/4/24
