阿達　　雅志,自由民主党,"選挙区・比例区／当選年／当選回数：
比例代表選出／平成26年、28年、令和4年／当選 3 回","令和7年4月17日現在
総務委員会
国家基本政策委員会
災害対策特別委員会","昭和３４年９月２７日京都市生まれ、福井県、大阪府で育つ。私立洛星中学・高校を経て、昭和５８年東京大学法学部卒業。同年住友商事株式会社入社。鉄道車輌の輸出営業、米国車輌工場勤務後、ニューヨーク大学ロー・スクールにて比較法修士（ＭＣＪ）、法学修士（ＬＬＭ）を取得。平成５年米国ニューヨーク州弁護士登録。その後同社法務部、北京駐在勤務後、平成１２年退職。衆議院議員佐藤信二氏秘書。平成１６年ポール・ワイス外国法事務弁護士事務所勤務。日本大学法科大学院非常勤講師、東京大学大学院情報学環特任研究員を歴任。平成２６年１２月繰上げ当選。平成２８年９月党外交部会長（２期連続）。平成３０年１０月国土交通大臣政務官兼内閣府大臣政務官、令和２年内閣総理大臣補佐官（経済・外交担当）○著書「世界パラダイム・シフト」「政治家になった父から１８歳の息子へ（わが家の主権者教育）」
（令和４年１１月３０日現在）"
青木　　　愛,立憲民主・社民・無所属,"選挙区・比例区／当選年／当選回数：
比例代表選出／平成19年、28年、令和4年／当選 3 回","令和7年4月17日現在
環境委員会
決算委員会（理）
資源エネルギー・持続可能社会に関する調査会","昭和４０年８月１８日東京都墨田区生まれ。千葉大学教育学部卒業、千葉大学大学院教育学研究科修了、東京芸術大学音楽研究科研究生。社会福祉法人櫻の会理事、ゆうひが丘保育園保育士。平成１５年１１月衆議院議員選挙初当選。平成１９年７月参議院議員選挙初当選。衆議院厚労理事、文科委員ほか。衆議院消費者問題特別委員長。民主党千葉１２区総支部長、同参議院比例区総支部長。同東京１２区総支部長、同副幹事長。国民の生活が第一、日本未来の党、生活の党、自由党、国民民主党、立憲民主党。その間、国土交通委員会筆頭理事、環境委員会筆頭理事。東日本大震災復興特別委員長ほか○現在立憲民主党、行政監視委員長○衆議院議員３期
（令和４年１１月３０日現在）"
青木　　一彦,自由民主党,"選挙区・比例区／当選年／当選回数：
選挙区（鳥取県・島根県）選出／平成22年、28年、令和4年／当選 3 回","令和7年4月17日現在
内閣委員会","昭和３６年３月２５日、島根県出雲市大社町生まれ○大社高校、早稲田大学教育学部卒業○内閣官房長官秘書官、参議院議員秘書○平成２２年７月、参議院議員選挙初当選○国土交通副大臣、予算委員会筆頭理事、政府開発援助等及び沖縄・北方問題に関する特別委員長、参議院党国会対策委員長代理、国土交通大臣政務官、水産部会長代理、農林副部会長、国土交通副部会長等を歴任
（令和４年１１月３０日現在）"
青島　　健太,日本維新の会,"選挙区・比例区／当選年／当選回数：
比例代表選出／令和4年／当選 1 回","令和7年4月17日現在
国土交通委員会（理）
議院運営委員会
政治改革に関する特別委員会
資源エネルギー・持続可能社会に関する調査会（理）","１９５８年４月７日新潟県新潟市生まれ。６歳から埼玉県草加市で育つ。７７年埼玉県立春日部高校卒業。８１年慶應義塾大学法学部政治学科卒業。同年株式会社東芝入社。８３年都市対抗野球大会優勝。８５年ヤクルトスワローズ入団。史上２０人目の初打席初本塁打を記録。８９年退団後、オーストラリアで日本語教師を務める。帰国後スポーツライターとして執筆活動を始める。テレビやラジオにも活動の場を広げ、五輪キャスターや情報番組の司会を担当する。これまで立教大学、慶應義塾大学、流通経済大学で非常勤講師、現在は鹿屋体育大学、国士舘大学大学院で非常勤講師、日本医療科学大学で客員教授を務める。日本オリンピック委員会、スポーツ拠点づくり委員会、笹川スポーツ財団等で長らく委員・理事を務めスポーツの普及振興と地域活性化に携わってきた。２０１９年埼玉県知事選に出馬するも落選。日本ペンクラブ正会員
（令和５年８月２５日現在）"
青山　　繁晴,自由民主党,"選挙区・比例区／当選年／当選回数：
比例代表選出／平成28年、令和4年／当選 2 回","令和7年4月17日現在
環境委員会（長）
政府開発援助等及び沖縄・北方問題に関する特別委員会
憲法審査会","昭和２７年７月２５日、神戸市に生まれる。淳心学院中高卒業。慶應義塾大学文学部中退、早稲田大学政治経済学部経済学科卒業。共同通信社に入社し事件記者、経済記者を経て政治部へ。平成１０年、三菱総合研究所に研究員として迎えられ、安全保障・外交から金融・経済までを包括する国家戦略の立案に携わる。平成１４年、株式会社独立総合研究所を創立。代表取締役社長・兼・首席研究員に就任し、「国を官任せにしない」を掲げ国家危機管理、外交、安全保障、自前の海洋資源の実用化などの研究を統括する。近畿大学客員教授、東京大学非常勤講師を務め、テレビ・ラジオでも発信する。独立総合研究所を退社後に参議院議員に当選○現在新しい議員集団「日本の尊厳と国益を護る会」（護る会）代表○作家として著書にノンフィクションでは「ぼくらの祖国」「ぼくらの選択」（全３巻）、文学作品では「平成紀」「わたしは灰猫」「夜想交叉路」、がある
（令和４年１１月３０日現在）"
赤池　　誠章,自由民主党,"選挙区・比例区／当選年／当選回数：
比例代表選出／平成25年、令和元年／当選 2 回","令和7年4月17日現在
文教科学委員会
決算委員会
北朝鮮による拉致問題等に関する特別委員会
憲法審査会","昭和３６年７月１９日、山梨県甲府市生まれ。明治大学政治経済学部政治学科卒業。松下政経塾で松下幸之助氏に「人づくり」の重要性を学ぶ。赤池総合研究所代表、自動車整備士養成の専門学校長を経て、平成１７年、衆議院議員に初当選。教育基本法の改正に力を尽くす。平成２４年～２６年、母校明治大学客員教授。平成２５年、参議院議員選挙比例代表（全国区）で国政復帰。自民党副幹事長、参議院国土交通委員会理事、文部科学大臣政務官、自民党治安・テロ対策調査会事務局長、参議院文教科学委員長、資源エネルギーに関する調査会筆頭理事、令和元年、参議院議員選挙再選、自民党広報本部本部長代理、文部科学部会長（３期）、内閣府副大臣等を務める○現在自民党政務調査会副会長。常に「日々勉強、結果に責任」の姿勢で取り組み、「国づくり、地域づくりは、人づくりから」をモットーとした活動を広く展開
（令和４年１１月３０日現在）"
赤松　　　健,自由民主党,"選挙区・比例区／当選年／当選回数：
比例代表選出／令和4年／当選 1 回","令和7年4月17日現在
文教科学委員会
消費者問題に関する特別委員会
外交・安全保障に関する調査会","昭和４３年７月５日、愛知県名古屋市生まれ。幼少期を熊本県熊本市、東京都東久留米市で過ごす。海城高校卒、中央大学文学部卒。１９９３年に第５０回週刊少年マガジン新人漫画賞審査員特別賞を受賞し、漫画家デビュー。講談社の少年向け漫画雑誌にて２８年連載を継続。２０１０年Ａｍａｚｏｎ．ｃｏｍ　１０周年殿堂入り。Ｊａｐａｎ　Ｅｘｐｏ　２０１５　など海外のイベントにゲスト出演多数。東京大学、東京藝術大学、早稲田大学等の教育機関にてコンテンツや著作権についての講義を行う。漫画家、日本漫画家協会常務理事・著作権部、デジタルアーカイブ学会評議員、株式会社Ｊコミックテラス取締役会長○主な作品に「Ａ・Ｉが止まらない」「ラブひな」（第２５回講談社漫画賞・少年部門受賞）「魔法先生ネギま！」「ＵＱ　ＨＯＬＤＥＲ　！」など
（令和４年１１月３０日現在）"
秋野　　公造,公明党,"選挙区・比例区／当選年／当選回数：
選挙区（福岡県）選出／平成22年、28年、令和4年／当選 3 回","令和7年4月17日現在
厚生労働委員会（理）
政治改革に関する特別委員会
情報監視審査会","１９６７年７月１１日生。白陵高校、長崎大医学部卒、９２年医師免許取得、９６年同大大学院医学研究科博士課程修了。長崎大学、米国シーダース・サイナイ・メディカルセンター、厚生労働省にて勤務、０９年東京空港検疫所支所長、同年厚生労働省退職。１０年参院初当選。胃がん予防のためのピロリ菌除菌の保険適用などを実現。１２年環境大臣政務官兼内閣府大臣政務官、１３年参議院災害対策特別委員長。１６年法務委員長。１８年総務委員長。２２年財務副大臣○著書「やさしい腎代替療法」「てんかんの教科書」「フットケアで寿命を延ばす」「胃がんは『ピロリ菌除菌』でなくせる」「腎代替療法の未来」「令和の養生訓」「まだ終わっていない弱者の病・結核」
（令和４年１１月３０日現在）"
浅尾　慶一郎,自由民主党,"選挙区・比例区／当選年／当選回数：
選挙区（神奈川県）選出／平成10年、16年、令和4年／当選 3 回","令和7年4月17日現在
経済産業委員会","昭和３９年２月１１日東京生まれ。昭和５８年神奈川県私立栄光学園高等学校卒業。昭和６２年東京大学法学部卒業。同年（株）日本興業銀行入行。平成４年米国スタンフォード大学経営大学院卒業（ＭＢＡ）。平成１０年参議院議員（神奈川選挙区）初当選、平成１６年参議院議員（神奈川選挙区）２期目当選、参議院財政金融委員長、外交防衛委員会筆頭理事を務める。平成２１年衆議院議員（比例区南関東ブロック）初当選、衆議院予算委員会委員、決算行政監視委員会委員を務める。平成２９年無所属で出馬するも落選。平成３０年４月より玉川大学経営学部国際経営学科非常勤講師。令和４年参議院議員（神奈川選挙区）当選。スイスの民間経済研究機関「世界経済フォーラム（ＷＥＦ）」より次世代の世界を担う「若き国際的指導者（Ｙｏｕｎｇ　Ｇｌｏｂａｌ　Ｌｅａｄｅｒｓ）」に選出
（令和４年１１月３０日現在）"
浅田　　　均,日本維新の会,"選挙区・比例区／当選年／当選回数：
選挙区（大阪府）選出／平成28年、令和4年／当選 2 回","令和7年4月17日現在
財政金融委員会
国家基本政策委員会（長）
憲法審査会","１９５０年大阪市生まれ。市立今福小学校、放出中学校、府立大手前高校を経て京都大学文学部哲学科卒業。日本放送協会職員。スタンフォード大学大学院修士課程修了。１９９１年経済協力開発機構（ＯＥＣＤ）日本政府代表部専門調査員として渡仏。科学技術工業局・情報、通信政策委員会等を担当。９８年帰国。９９年から大阪府議５期。２０１１年から１４年まで議長。○２０１０年大阪都構想を実現させるため地域政党「大阪維新の会」を結党、大阪府大阪市特別区設置協議会会長として特別区設置協定書をまとめるも大阪市民の住民投票で否決される○日本維新の会政調会長等を経て現在参議院会長○共著「大阪維新（チーム橋下の戦略と作戦）」
（令和４年１１月３０日現在）"
朝日　健太郎,自由民主党,"選挙区・比例区／当選年／当選回数：
選挙区（東京都）選出／平成28年、令和4年／当選 2 回","令和7年4月17日現在
国土交通委員会（理）
行政監視委員会
政府開発援助等及び沖縄・北方問題に関する特別委員会（理）
外交・安全保障に関する調査会（理）","昭和５０年９月熊本生まれ、法政大卒、サントリー株式会社入社、五輪日本代表、ＮＰＯ法人理事長、早稲田大学社会人修士課程修了、平成２８年参議院議員初当選、国土交通委員会理事、国土交通大臣政務官○現在予算委員会委員、環境委員会理事、外交・安全保障に関する調査会理事、政府開発援助等及び沖縄・北方問題に関する特別委員会委員、党青年局顧問、党国土交通部会長代理、党環境関係団体委員長、党参議院政策審議会副会長
（令和４年１１月３０日現在）"
