No,氏名,ふりがな,会派,選挙区,当選回数,生年月日,表面,本質,意思決定,隠れ,希望,プロフィール
1,逢沢 一郎君,あいさわ いちろう,自民,岡山1,13,1954/6/10,ライオン,猿,ライオン,ライオン,ライオン,"逢沢 一郎（あいさわ いちろう）
 小選挙区（岡山県第一区）選出、自由民主党・無所属の会
 昭和二十九年六月岡山県岡山市に生まれる、慶應義塾大学工学部卒業、（財）松下政経塾○（公財）松下政経塾理事○通商産業政務次官、外務副大臣○自民党商工部会長、岡山県連会長、幹事長代理、国会対策委員長、総裁特別補佐、政治制度改革実行本部長、選挙制度調査会長○衆議院外務委員長、予算委員長、議院運営委員長、政治倫理審査会長○平成二十三年五月永年在職議員として衆議院より表彰される○当選十三回（38 39 40 41 42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
2,青柳 仁士君,あおやぎ ひとし,維新,大阪14,2,1978/11/7,たぬき,子守熊,ペガサス,くろひょう,子守熊,"青柳 仁士（あおやぎ ひとし）
 小選挙区（大阪府第十四区）選出、日本維新の会
 昭和五十三年十一月東京都に生まれ、早稲田大学政治経済学部卒業、デューク大学公共政策大学院卒業○国際協力機構（JICA）職員、国連職員○日本維新の会国際局長、国会議員団政務調査会長代行○衆議院予算委員会理事、外務委員会理事○著書「小さな会社のSDGs実践の教科書」○当選二回（49 50）
 （令和7年3月現在）"
3,青柳 陽一郎君,あおやぎ よういちろう,立憲,神奈川6,5,1969/8/29,子守熊,狼,ゾウ,猿,ひつじ,"青柳 陽一郎（あおやぎ よういちろう）
 小選挙区（神奈川県第六区）選出、立憲民主党・無所属
 昭和四十四年八月東京都中野区生まれ、小中高校時代を横浜市保土ケ谷区で過ごす。日本大学法学部卒業、衆議院議員松田岩夫秘書となる。平成十七年第三次小泉内閣国務大臣松田岩夫政策秘書、平成十九年日越両国政府ナショナルプロジェクト「ベトナムフェスティバル」事務総長を始めアセアンフェスティバル、インドネシアでのジャパンフェスティバル、平成二十九年には、日中国交正常化四十五周年事業「チャイナフェスティバル」事務総長など国際交流イベントを多数実施。平成二十六年早稲田大学大学院公共経営研究科修了、NPO役員、立憲民主党国会対策委員会副委員長、党県連代表、衆議院議院運営委員会筆頭理事○当選五回（46 47 48 49 50）
 （令和7年3月現在）"
4,青山 大人君,あおやま やまと,立憲,茨城6,3,1979/1/24,こじか,ペガサス,子守熊,ゾウ,ゾウ,"青山 大人（あおやま やまと）
 小選挙区（茨城県第六区）選出、立憲民主党・無所属
 昭和五十四年一月茨城県土浦市に生まれる、土浦第一高等学校卒業、慶應義塾大学経済学部卒業○茨城県議会議員○衆議院議員、立憲民主党副幹事長、立憲民主党茨城県連代表○当選三回（48 49 50）
 （令和7年3月現在）"
5,赤澤 亮正君,あかざわ りょうせい,自民,鳥取2,7,1960/12/18,ゾウ,こじか,ゾウ,狼,チーター,"赤澤 亮正（あかざわ りょうせい）
 小選挙区（鳥取県第二区）選出、自由民主党・無所属の会
 内閣府特命担当大臣
 昭和三十五年十二月十八日東京都に生まれる、東京大学法学部卒業、米国コーネル大学経営大学院卒業（MBA）○運輸省入省、国土交通省大臣官房秘書課企画官、日本郵政公社郵便事業総本部国際本部海外事業部長○国土交通大臣政務官、内閣府副大臣、財務副大臣、経済再生担当大臣、内閣府特命担当大臣（経済財政政策）○自民党国土交通部会長、国会対策副委員長、総務副会長、農林部会畜産・酪農対策委員会委員長、文化立国調査会事務局長、整備新幹線等鉄道調査会副会長、ITS推進・道路調査会副会長、政務調査会長代理、税制調査会幹事○衆議院環境委員会委員長、原子力問題調査特別委員会委員長○著書「テロ等準備罪」○当選七回（44 45 46 47 48 49 50）
 （令和7年3月現在）"
6,赤羽 一嘉君,あかば かずよし,公明,兵庫2,10,1958/5/7,子守熊,ペガサス,こじか,たぬき,子守熊,"赤羽 一嘉（あかば かずよし）
 小選挙区（兵庫県第二区）選出、公明党
 昭和三十三年五月東京都新宿区中落合に生まれる、慶應義塾大学法学部卒業○三井物産株式会社入社、中国等に駐在○国土交通大臣、経済産業副大臣兼内閣府副大臣、財務副大臣○党副代表、兵庫県本部代表○衆議院災害対策特別委員長、国土交通委員長、経済産業委員長、総務委員長○当選十回（40 41 42 43 44 46 47 48 49 50）
 （令和7年3月現在）"
7,あかま 二郎君,あかま じろう,自民,神奈川14,6,1968/3/27,チーター,子守熊,子守熊,虎,虎,"あかま 二郎（あかま じろう）
 小選挙区（神奈川県第十四区）選出、自由民主党・無所属の会
 昭和四十三年三月神奈川県相模原市に生まれる、立教大学経済学部経済学科卒業、マンチェスター大学Dip取得○神奈川県議会議員、保護司○総務大臣政務官、総務副大臣兼内閣府副大臣、内閣府副大臣○自民党副幹事長、自民党国会対策副委員長、自民党総務部会長○衆議院財務金融委員会理事、国土交通委員長、同委員会筆頭理事、総務委員会筆頭理事○当選六回（44 46 47 48 49 50）
 （令和7年3月現在）"
8,赤嶺 政賢君,あかみね せいけん,共産,沖縄1,9,1947/12/18,猿,たぬき,チーター,こじか,ひつじ,"赤嶺 政賢（あかみね せいけん）
 小選挙区（沖縄県第一区）選出、日本共産党
 一九四七年十二月沖縄県那覇市に生まれる、東京教育大学文学部卒業○沖縄県八重山高校・八重山商工高校教員、那覇市議会議員三期○沖縄県高教組支部執行委員、沖縄県知事選挙合同選対副議長、那覇市政革新共闘会議幹事を歴任○現在、日本共産党幹部会委員・沖縄県委員長○衆議院安全保障委員、沖縄北方特別委員、憲法審査会委員○当選九回（42 43 44 45 46 47 48 49 50）
 （令和7年3月現在）"
9,阿久津 幸彦君,あくつ ゆきひこ,立憲,東京11,5,1956/6/26,ゾウ,チーター,ペガサス,チーター,ライオン,"阿久津 幸彦（あくつ ゆきひこ）
 小選挙区（東京都第十一区）選出、立憲民主党・無所属
 昭和三十一年六月東京都文京区生まれ、都立北園高校卒、米国ジョージ・ワシントン大学院国際政治学修士課程修了○衆議院議員石原慎太郎公設第一秘書、新党さきがけ政策調査会委員、NPO法人ジャパン・プラットフォーム国内事業部長兼東北事務所長○内閣総理大臣補佐官、硫黄島遺骨帰還特命チームリーダー、内閣府大臣政務官、東日本大震災現地対策本部長代理、衆議院消費者問題に関する特別委員長○旧民主党総括副幹事長○現在、衆議院財務金融委員会理事、国土交通委員会委員、東日本大震災復興・防災・災害対策に関する特別委員会委員、立憲民主党総務局長○当選五回（42 43 45 48 50）
 （令和7年3月現在）"
10,浅野 哲君,あさの さとし,国民,茨城5,3,1982/9/25,ライオン,チーター,くろひょう,ライオン,くろひょう,"浅野 哲（あさの さとし）
 小選挙区（茨城県第五区）選出、国民民主党・無所属クラブ
 昭和五十七年九月東京都八王子市に生まれる、青山学院大学大学院理工学研究科博士前期課程修了○衆議院議員大畠章宏公設第一秘書、日立製作所労働組合特別中央執行委員、株式会社日立製作所研究員○国民民主党青年局長、国会対策委員長代理○衆議院予算委員会理事、厚生労働委員会理事、憲法審査会幹事○当選三回（48 49 50）
 （令和7年3月現在）"
